Region Name,Sub-region Name,Country Name,ISO3 Code,Grupo de Ingresos,2020
Americas,Latin America and the Caribbean,Aruba,ABW,Ingreso alto,19000.0
Asia,Southern Asia,Afghanistan,AFG,Ingreso bajo,26570.0
Africa,Sub-Saharan Africa,Angola,AGO,Ingreso mediano bajo,230610.0
Europe,Southern Europe,Albania,ALB,Ingreso mediano alto,508937.0
Europe,Southern Europe,Andorra,AND,Ingreso alto,37000.0
Asia,Western Asia,United Arab Emirates,ARE,Ingreso alto,3245123.0
Americas,Latin America and the Caribbean,Argentina,ARG,Ingreso mediano alto,9571562.0
Asia,Western Asia,Armenia,ARM,Ingreso mediano alto,430407.0
Americas,Latin America and the Caribbean,Antigua and Barbuda,ATG,Ingreso alto,8000.0
Oceania,Australia and New Zealand,Australia,AUS,Ingreso alto,9099619.0
Europe,Western Europe,Austria,AUT,Ingreso alto,2606000.0
Asia,Western Asia,Azerbaijan,AZE,Ingreso mediano alto,1995474.0
Africa,Sub-Saharan Africa,Burundi,BDI,Ingreso bajo,4230.0
Europe,Western Europe,Belgium,BEL,Ingreso alto,4734210.0
Africa,Sub-Saharan Africa,Benin,BEN,Ingreso mediano bajo,29981.0
Africa,Sub-Saharan Africa,Burkina Faso,BFA,Ingreso bajo,13979.0
Asia,Southern Asia,Bangladesh,BGD,Ingreso mediano bajo,10052819.0
Europe,Eastern Europe,Bulgaria,BGR,Ingreso mediano alto,2115053.0
Asia,Western Asia,Bahrain,BHR,Ingreso alto,148928.0
,,"Bahamas, The",,,83000.0
Europe,Southern Europe,Bosnia and Herzegovina,BIH,Ingreso mediano alto,770424.0
Europe,Eastern Europe,Belarus,BLR,Ingreso mediano alto,3255552.0
Americas,Latin America and the Caribbean,Belize,BLZ,Ingreso mediano bajo,36000.0
Americas,Northern America,Bermuda,BMU,Ingreso alto,23000.0
,,Bolivia,,,931918.0
Americas,Latin America and the Caribbean,Brazil,BRA,Ingreso mediano alto,36344670.0
Americas,Latin America and the Caribbean,Barbados,BRB,Ingreso alto,128000.0
Asia,South-eastern Asia,Brunei Darussalam,BRN,Ingreso alto,71078.0
Asia,Southern Asia,Bhutan,BTN,Ingreso mediano bajo,3189.0
Africa,Sub-Saharan Africa,Botswana,BWA,Ingreso mediano alto,259525.0
Americas,Northern America,Canada,CAN,Ingreso alto,15825813.0
Europe,Western Europe,Switzerland,CHE,Ingreso alto,4028238.0
Americas,Latin America and the Caribbean,Chile,CHL,Ingreso alto,3763826.0
Asia,Eastern Asia,China,CHN,Ingreso mediano alto,483549500.0
,,Cote d'Ivoire,,,260097.0
Africa,Sub-Saharan Africa,Cameroon,CMR,Ingreso mediano bajo,722579.0
,,"Congo, Dem. Rep.",,,31000.0
,,"Congo, Rep.",,,1000.0
Americas,Latin America and the Caribbean,Colombia,COL,Ingreso mediano alto,7764772.0
Africa,Sub-Saharan Africa,Comoros,COM,Ingreso mediano bajo,1066.0
Africa,Sub-Saharan Africa,Cabo Verde,CPV,Ingreso mediano bajo,24839.0
Americas,Latin America and the Caribbean,Costa Rica,CRI,Ingreso mediano alto,992725.0
Americas,Latin America and the Caribbean,Cuba,CUB,Ingreso mediano alto,231654.0
,,Curacao,,,55000.0
Americas,Latin America and the Caribbean,Cayman Islands,CYM,Ingreso alto,32000.0
Asia,Western Asia,Cyprus,CYP,Ingreso alto,332080.0
Europe,Eastern Europe,Czechia,CZE,Ingreso alto,3845426.0
Europe,Western Europe,Germany,DEU,Ingreso alto,36215303.0
Africa,Sub-Saharan Africa,Djibouti,DJI,Ingreso mediano bajo,25053.0
Americas,Latin America and the Caribbean,Dominica,DMA,Ingreso mediano alto,16000.0
Europe,Northern Europe,Denmark,DNK,Ingreso alto,2590282.0
Americas,Latin America and the Caribbean,Dominican Republic,DOM,Ingreso mediano alto,1031858.0
Africa,Northern Africa,Algeria,DZA,Ingreso mediano bajo,3790459.0
Americas,Latin America and the Caribbean,Ecuador,ECU,Ingreso mediano alto,2371297.0
,,"Egypt, Arab Rep.",,,9349469.0
Africa,Sub-Saharan Africa,Eritrea,ERI,Ingreso bajo,5000.0
Europe,Southern Europe,Spain,ESP,Ingreso alto,16188502.0
Europe,Northern Europe,Estonia,EST,Ingreso alto,415610.0
Africa,Sub-Saharan Africa,Ethiopia,ETH,Ingreso bajo,212000.0
Europe,Northern Europe,Finland,FIN,Ingreso alto,1846000.0
Oceania,Melanesia,Fiji,FJI,Ingreso mediano alto,23062.0
Europe,Western Europe,France,FRA,Ingreso alto,30627000.0
Europe,Northern Europe,Faroe Islands,FRO,Ingreso alto,18443.0
,,"Micronesia, Fed. Sts.",,,6000.0
Africa,Sub-Saharan Africa,Gabon,GAB,Ingreso mediano alto,44607.0
,,United Kingdom,,,27330297.0
Asia,Western Asia,Georgia,GEO,Ingreso mediano alto,972162.0
Africa,Sub-Saharan Africa,Ghana,GHA,Ingreso mediano bajo,78371.0
Europe,Southern Europe,Gibraltar,GIB,Ingreso alto,21009.0
Africa,Sub-Saharan Africa,Guinea,GIN,Ingreso bajo,1000.0
,,"Gambia, The",,,5000.0
Africa,Sub-Saharan Africa,Guinea-Bissau,GNB,Ingreso bajo,2383.0
Africa,Sub-Saharan Africa,Equatorial Guinea,GNQ,Ingreso mediano alto,1000.0
Europe,Southern Europe,Greece,GRC,Ingreso alto,4257026.0
Americas,Latin America and the Caribbean,Grenada,GRD,Ingreso mediano alto,32000.0
Americas,Northern America,Greenland,GRL,Ingreso alto,15649.0
Americas,Latin America and the Caribbean,Guatemala,GTM,Ingreso mediano alto,612000.0
Oceania,Micronesia,Guam,GUM,Ingreso alto,3000.0
Americas,Latin America and the Caribbean,Guyana,GUY,Ingreso mediano alto,95000.0
Americas,Latin America and the Caribbean,Honduras,HND,Ingreso mediano bajo,396916.0
Europe,Southern Europe,Croatia,HRV,Ingreso alto,1030973.0
Americas,Latin America and the Caribbean,Haiti,HTI,Ingreso mediano bajo,31000.0
Europe,Eastern Europe,Hungary,HUN,Ingreso alto,3265308.0
Asia,South-eastern Asia,Indonesia,IDN,Ingreso mediano bajo,11722218.0
Asia,Southern Asia,India,IND,Ingreso mediano bajo,22950000.0
Europe,Northern Europe,Ireland,IRL,Ingreso alto,1516473.0
Asia,Western Asia,Iraq,IRQ,Ingreso mediano alto,6254099.0
Europe,Northern Europe,Iceland,ISL,Ingreso alto,141816.0
Asia,Western Asia,Israel,ISR,Ingreso alto,2602079.0
Europe,Southern Europe,Italy,ITA,Ingreso alto,18128787.0
Americas,Latin America and the Caribbean,Jamaica,JAM,Ingreso mediano alto,385603.0
Asia,Western Asia,Jordan,JOR,Ingreso mediano alto,630545.0
Asia,Eastern Asia,Japan,JPN,Ingreso alto,44000791.0
Asia,Central Asia,Kazakhstan,KAZ,Ingreso mediano alto,2620400.0
Africa,Sub-Saharan Africa,Kenya,KEN,Ingreso mediano bajo,674191.0
,,Kyrgyz Republic,,,289000.0
Asia,South-eastern Asia,Cambodia,KHM,Ingreso mediano bajo,233772.0
Oceania,Micronesia,Kiribati,KIR,Ingreso mediano bajo,185.0
,,St. Kitts and Nevis,,,30000.0
,,"Korea, Rep.",,,22327182.0
Asia,Western Asia,Kuwait,KWT,Ingreso alto,73948.0
,,Lao PDR,,,128000.0
Asia,Western Asia,Lebanon,LBN,Ingreso mediano alto,432070.0
Africa,Sub-Saharan Africa,Liberia,LBR,Ingreso bajo,13000.0
Africa,Northern Africa,Libya,LBY,Ingreso mediano alto,332000.0
,,St. Lucia,,,33000.0
Europe,Western Europe,Liechtenstein,LIE,Ingreso alto,18050.0
Asia,Southern Asia,Sri Lanka,LKA,Ingreso mediano bajo,1781530.0
Africa,Sub-Saharan Africa,Lesotho,LSO,Ingreso mediano bajo,5060.0
Europe,Northern Europe,Lithuania,LTU,Ingreso alto,796814.0
Europe,Western Europe,Luxembourg,LUX,Ingreso alto,235155.0
Europe,Northern Europe,Latvia,LVA,Ingreso alto,490569.0
Africa,Northern Africa,Morocco,MAR,Ingreso mediano bajo,2102434.0
Europe,Western Europe,Monaco,MCO,Ingreso alto,20877.0
,,Moldova,,,719001.0
Africa,Sub-Saharan Africa,Madagascar,MDG,Ingreso bajo,32000.0
Asia,Southern Asia,Maldives,MDV,Ingreso mediano alto,63685.0
Americas,Latin America and the Caribbean,Mexico,MEX,Ingreso mediano alto,21936131.0
Oceania,Micronesia,Marshall Islands,MHL,Ingreso mediano alto,1000.0
Africa,Sub-Saharan Africa,Mali,MLI,Ingreso bajo,243806.0
Europe,Southern Europe,Malta,MLT,Ingreso alto,213419.0
Asia,South-eastern Asia,Myanmar,MMR,Ingreso mediano bajo,688815.0
Europe,Southern Europe,Montenegro,MNE,Ingreso mediano alto,184176.0
Asia,Eastern Asia,Mongolia,MNG,Ingreso mediano bajo,307166.0
Africa,Sub-Saharan Africa,Mozambique,MOZ,Ingreso bajo,70000.0
Africa,Sub-Saharan Africa,Mauritania,MRT,Ingreso mediano bajo,18457.0
Africa,Sub-Saharan Africa,Mauritius,MUS,Ingreso mediano alto,323200.0
Africa,Sub-Saharan Africa,Malawi,MWI,Ingreso bajo,12255.0
Asia,South-eastern Asia,Malaysia,MYS,Ingreso mediano alto,3358800.0
Africa,Sub-Saharan Africa,Namibia,NAM,Ingreso mediano alto,71063.0
Oceania,Melanesia,New Caledonia,NCL,Ingreso alto,55000.0
Africa,Sub-Saharan Africa,Niger,NER,Ingreso bajo,12000.0
Africa,Sub-Saharan Africa,Nigeria,NGA,Ingreso mediano bajo,65313.0
Americas,Latin America and the Caribbean,Nicaragua,NIC,Ingreso mediano bajo,290351.0
Europe,Western Europe,Netherlands,NLD,Ingreso alto,7525016.0
Europe,Northern Europe,Norway,NOR,Ingreso alto,2387661.0
Asia,Southern Asia,Nepal,NPL,Ingreso mediano bajo,1270000.0
Oceania,Australia and New Zealand,New Zealand,NZL,Ingreso alto,1764984.0
Asia,Western Asia,Oman,OMN,Ingreso alto,508949.0
Asia,Southern Asia,Pakistan,PAK,Ingreso mediano bajo,2523027.0
Americas,Latin America and the Caribbean,Panama,PAN,Ingreso mediano alto,562413.0
Americas,Latin America and the Caribbean,Peru,PER,Ingreso mediano alto,3044000.0
Asia,South-eastern Asia,Philippines,PHL,Ingreso mediano bajo,7936574.0
Oceania,Melanesia,Papua New Guinea,PNG,Ingreso mediano bajo,21000.0
Europe,Eastern Europe,Poland,POL,Ingreso alto,8369218.0
Americas,Latin America and the Caribbean,Puerto Rico,PRI,Ingreso alto,671284.0
Europe,Southern Europe,Portugal,PRT,Ingreso alto,4160795.0
Americas,Latin America and the Caribbean,Paraguay,PRY,Ingreso mediano alto,562369.0
Asia,Western Asia,Qatar,QAT,Ingreso alto,296126.0
Europe,Eastern Europe,Romania,ROU,Ingreso mediano alto,5684782.0
Europe,Eastern Europe,Russian Federation,RUS,Ingreso mediano alto,33893305.0
Africa,Sub-Saharan Africa,Rwanda,RWA,Ingreso bajo,17685.0
,,South Asia,,,38670820.0
Asia,Western Asia,Saudi Arabia,SAU,Ingreso alto,7890261.0
Africa,Northern Africa,Sudan,SDN,Ingreso bajo,28782.0
Africa,Sub-Saharan Africa,Senegal,SEN,Ingreso mediano bajo,153813.0
Asia,South-eastern Asia,Singapore,SGP,Ingreso alto,1509700.0
Oceania,Melanesia,Solomon Islands,SLB,Ingreso mediano bajo,1000.0
Americas,Latin America and the Caribbean,El Salvador,SLV,Ingreso mediano bajo,586000.0
Europe,Southern Europe,San Marino,SMR,Ingreso alto,11000.0
Africa,Sub-Saharan Africa,Somalia,SOM,Ingreso bajo,119000.0
Europe,Southern Europe,Serbia,SRB,Ingreso mediano alto,1730496.0
Africa,Sub-Saharan Africa,Sao Tome and Principe,STP,Ingreso mediano bajo,2512.0
Americas,Latin America and the Caribbean,Suriname,SUR,Ingreso mediano alto,92270.0
,,Slovak Republic,,,1701561.0
Europe,Southern Europe,Slovenia,SVN,Ingreso alto,651604.0
Europe,Northern Europe,Sweden,SWE,Ingreso alto,4179574.0
Africa,Sub-Saharan Africa,Eswatini,SWZ,Ingreso mediano bajo,12000.0
Africa,Sub-Saharan Africa,Seychelles,SYC,Ingreso alto,34966.0
Asia,Western Asia,Syrian Arab Republic,SYR,Ingreso bajo,1549346.0
Africa,Sub-Saharan Africa,Chad,TCD,Ingreso bajo,0.0
Africa,Sub-Saharan Africa,Togo,TGO,Ingreso bajo,52706.0
Asia,South-eastern Asia,Thailand,THA,Ingreso mediano alto,11478265.0
Asia,Central Asia,Tajikistan,TJK,Ingreso mediano bajo,6000.0
Asia,Central Asia,Turkmenistan,TKM,Ingreso mediano alto,10000.0
Asia,South-eastern Asia,Timor-Leste,TLS,Ingreso mediano bajo,75.0
Oceania,Polynesia,Tonga,TON,Ingreso mediano alto,5000.0
Americas,Latin America and the Caribbean,Trinidad and Tobago,TTO,Ingreso alto,376771.0
Africa,Northern Africa,Tunisia,TUN,Ingreso mediano bajo,1334059.0
,,Turkiye,,,16734853.0
,,Tanzania,,,1135608.0
Africa,Sub-Saharan Africa,Uganda,UGA,Ingreso bajo,58594.0
Europe,Eastern Europe,Ukraine,UKR,Ingreso mediano bajo,7769401.0
Americas,Latin America and the Caribbean,Uruguay,URY,Ingreso alto,1063701.0
Americas,Northern America,United States,USA,Ingreso alto,121176000.0
Asia,Central Asia,Uzbekistan,UZB,Ingreso mediano bajo,4820009.0
,,St. Vincent and the Grenadines,,,24733.0
,,"Venezuela, RB",,,2561556.0
Americas,Latin America and the Caribbean,British Virgin Islands,VGB,Ingreso alto,6738.0
,,Vietnam,,,16699249.0
Oceania,Melanesia,Vanuatu,VUT,Ingreso mediano bajo,2785.0
Oceania,Polynesia,Samoa,WSM,Ingreso mediano bajo,1692.0
,,"Yemen, Rep.",,,391000.0
Africa,Sub-Saharan Africa,Zambia,ZMB,Ingreso mediano bajo,82317.0
Africa,Sub-Saharan Africa,Zimbabwe,ZWE,Ingreso mediano bajo,203461.0
